A37P8UZ3SAKM7A,1.00
A3JSDZMBS8L87S,0.00
A37S96RT1P1IT2,1.00
A1Z8AOIDT5IV43,0.00
AA4KKLIU4C3NY,0.80
A3T1AU8XOEZZXY,0.00
A2USG1JP96FTV,0.90
AU7A3QNJF3O00,1.00
A26UIS59SY4NM6,0.80
AOY0S460FQI1T,0.00
A2CWJRAEFZ44HU,0.80
AR67RZM4TDX5M,1.00
A2VFEDAK5C1E1O,1.00
A1V2H0UF94ATWY,1.00
A2H6K1XIK4LY7O,0.00
A9HQ3E0F2AGVO,0.90
A1B76WYZ47BQJ,0.00
A1L3937MY09J3I,1.00
A3LT7W355XOAKF,0.00
A3SD02HCW68EUL,0.00
A14ADQ7RUN6TDY,1.00
A1PUHCEBSOWETV,0.80
A258MR1IS96JEP,0.80
A32U64W0S9PUA3,0.00
A2C7TMRC2QHTIW,0.90
A5NE8TWS8ZV7B,1.00
A30RAYNDOWQ61S,1.00
A2EZNZ6X58RTNR,0.90
A1ZTSCPETU3UJW,1.00
A1SIUJEL2LS8UO,0.80
