,2.00
A3AGQ2G8QI59EG,0.00
ASF5V3K4IFP4K,0.10
A22ZYDQ7VRH6EL,0.00
A1302M0ITC18M,0.10
A3D6VDP1APQF3D,1.00
A265VVUTKIWMQP,0.00
ASSKTVY7PUFNE,0.10
A1XK77VP2S13YC,0.90
A68CSKRK4XJBX,0.90
A3GBGW93SJLW6U,1.00
A2EED3HLTA96CP,0.00
A1DUPOUC9RNU4L,0.00
A2Z03W0OORZLU8,1.00
APF1EAZT104LQ,0.00
A23WHI90DIKA2O,0.00
A2LT9OPQXI1T4S,0.10
A3CA7SCTM4H9IO,0.90
A2WDF40FA670T9,1.00
A18S4B935J3CKO,1.00
A2BYH95KYWMIAM,0.90
A5B73N9C2HVEG,0.90
AE015UO038LEC,1.00
A2DVV59R1CQU6T,1.00
A1GVGOXSM348J2,0.00
A2PBRGT71DUYOY,1.00
A2D7IGYPUP48R7,0.90
A18GLXN59JTX9F,1.00
A19KNY14SR75GI,1.00
A1N8TKTLXV92QR,1.00
AYTUV0V3IO5AK,0.00
A2CXB5C7IW3F24,0.00
ATSCVR00ME11A,0.10
A1ZE87WEYCA44A,0.00
AZZA3J049G7R5,0.00
A288TV72SGDQWE,1.00
A1GIIPCG4JB7R5,1.00
A15XIKX3PI7SLK,0.90
AKNLD4GWEGW4U,0.00
A11DMDES6H8XDK,0.90
A11MCPY8W4U6FL,0.00
A2I6ZALE49CVSC,0.00
A34DWBBWZRLO1X,1.00
A3FTGEWH6KPMX,0.90
A1D2ZSPIHOI23K,0.00
A1Y9395AXC1FS0,0.90
A3CKJ9KKMKC9F6,0.10
A2NEP51CWP5VQT,0.00
A3RMV9ZGFJ0HHF,1.00
A229P5MJNLH4E6,0.00
A2EJ7U3TZAKROG,0.90
A3HYLVFUDKJFKC,1.00
A24YYQ69WO6F5K,1.00
A2GXHECU31O81V,0.00
AQXRHIMQ7UK7O,1.00
A2B4GWF7MF7AOB,0.00
AD3V6XGQWRD6E,1.00
A3HXZP2KK2DGQX,0.90
A17Q4QN6UE0EZC,0.90
A30MP4LXV4MIFD,1.00
A88DXNDGDUWEN,1.00
A2D773GY0L2LLP,0.10
AY5OS6NZWVX22,0.90
A36DK84J5YJ942,1.00
AQ2Z8GSCNU8H6,0.00
AHI4FABU79VTP,0.90
A22I5RTLJTY3JZ,1.60
A2MMVR6HYF5IC3,0.00
A1JJNB108BPMRN,0.90
A2ZGRB5DEGOG9C,0.90
A1UNBT94I82S8V,0.00
A1TLQ6BTDQX7US,0.00
AADADWJIFVSB1,1.00
A3PGUPNMOU5BPW,1.00
AO33H4GL9KZX9,0.00
A1G2U62KJ13ZF0,1.00
